,inner_title,inner_link,inner_image,min_number,min_price,min_content
0,三隻猴子調和純麥威士忌1000ml,https://www.609.com.tw/Product/110637,https://www.609.com.tw/Images/11威士忌/三隻猴子.jpg,110637,NT$899/瓶,但這個名字是另有故事背景的，傳統製作威士忌的過程中有一個步驟是發芽，在過去沒有自動化設備代工，每間酒廠幾乎都會有個只有地板的大房間將浸過水的大麥鋪在地板上面，進行發芽而這個過程需要約六天的時間。等待大麥發芽的過程中，為了避免發霉還有發出來的芽彼此糾纏生長，酒廠就需要派工人去翻這些大麥或麥芽，這是需要體力及肌耐力的苦差事！所以這些工人們常常累到肩膀痠痛無力的雙手下垂，走起路來又像猴子，於是彼此戲稱這是猴子的肩膀！那為什麼是三隻呢？因為格蘭父子洋酒公司為了感念這些工人的辛勞及貢獻，由威士忌的大師中的大師－百富首席調酒師 大衛史都華(David Stewart)的愛徒，布萊恩金斯曼(Brain Kinsman)同時也是格蘭菲迪的首席調酒師，來進行調和製做而成！便將其家族旗下位於斯貝賽的三家酒廠的波本桶原酒拿來調製融合過桶後推出的，三家酒廠分別為格蘭菲迪，百富及奇富。擺脫規則迷思，造就絕佳口感三隻猴子是支無拘無束、有趣的三重麥芽威士忌，從不強調產區、年份及酒廠間的風味差異。 全程在傳奇首席調酒大師David Stewart的得意門生－Brian Kinsman監督下，先融合三間單一純麥酒廠的陳年波本桶威士忌原酒，再轉移至大型融合桶中熟成三個月完成，造就出滑順的豐富口感，且伴隨著柔和的香草氣息。 當今唯一，榮獲SFWSC雙金牌獎 今年舊金山世界烈酒大賽中，三隻猴子成功吸引評審們的目光及味蕾，榮獲雙金牌獎，也是當今唯一獲得此殊榮的純麥威士忌！色澤: 淡金黃色。香氣: 濃郁花香味道，香草，蜂蜜味，蘋果香。口感: 清爽淡淡的滑順酒體，蜂蜜糖漿的感覺。尾韻: 香草精，輕爽的餘韻。2015年蘇格蘭威士忌大師賽-金牌2014年IWSC國際葡萄酒晉烈酒大賽-金牌                            
1,三隻猴子調和純麥威士忌700ml,https://www.609.com.tw/Product/110907,https://www.609.com.tw/Images/11威士忌/三隻猴子700ml.jpg,110907,NT$568/瓶,但這個名字是另有故事背景的，傳統製作威士忌的過程中有一個步驟是發芽，在過去沒有自動化設備代工，每間酒廠幾乎都會有個只有地板的大房間將浸過水的大麥鋪在地板上面，進行發芽而這個過程需要約六天的時間。等待大麥發芽的過程中，為了避免發霉還有發出來的芽彼此糾纏生長，酒廠就需要派工人去翻這些大麥或麥芽，這是需要體力及肌耐力的苦差事！所以這些工人們常常累到肩膀痠痛無力的雙手下垂，走起路來又像猴子，於是彼此戲稱這是猴子的肩膀！那為什麼是三隻呢？因為格蘭父子洋酒公司為了感念這些工人的辛勞及貢獻，由威士忌的大師中的大師－百富首席調酒師 大衛史都華(David Stewart)的愛徒，布萊恩金斯曼(Brain Kinsman)同時也是格蘭菲迪的首席調酒師，來進行調和製做而成！便將其家族旗下位於斯貝賽的三家酒廠的波本桶原酒拿來調製融合過桶後推出的，三家酒廠分別為格蘭菲迪，百富及奇富。擺脫規則迷思，造就絕佳口感三隻猴子是支無拘無束、有趣的三重麥芽威士忌，從不強調產區、年份及酒廠間的風味差異。 全程在傳奇首席調酒大師David Stewart的得意門生－Brian Kinsman監督下，先融合三間單一純麥酒廠的陳年波本桶威士忌原酒，再轉移至大型融合桶中熟成三個月完成，造就出滑順的豐富口感，且伴隨著柔和的香草氣息。 當今唯一，榮獲SFWSC雙金牌獎 今年舊金山世界烈酒大賽中，三隻猴子成功吸引評審們的目光及味蕾，榮獲雙金牌獎，也是當今唯一獲得此殊榮的純麥威士忌！色澤: 淡金黃色。香氣: 濃郁花香味道，香草，蜂蜜味，蘋果香。口感: 清爽淡淡的滑順酒體，蜂蜜糖漿的感覺。尾韻: 香草精，輕爽的餘韻。2015年蘇格蘭威士忌大師賽-金牌2014年IWSC國際葡萄酒晉烈酒大賽-金牌                            
2,大摩12年單一純麥威士忌700ml,https://www.609.com.tw/Product/110190,https://www.609.com.tw/Images/11威士忌/大摩12-750ml.jpg,110190,"NT$1,178/瓶",從1839年開始，大摩酒廠開始釀造最優異的單一純麥威士忌。酒廠坐落於Cromarty海灣北岸，屬於蘇格蘭高地。地理位置的優異讓大摩擁有得天獨厚的自然元素。從面對酒廠湖泊的乾淨水源，到海岸邊Black Isle富饒土地上產出的黃金大麥，讓大摩可以汲取大自然中最豐富的釀酒材料。靠近海平面的海拔高度也非常重要，夾帶著鹽份的海風徐徐吹來，包覆著鹽份的空氣、提供了酒窖內熟成威士忌絕佳的條件。大摩12年主張結合來自兩種橡木桶的原酒:存放波本酒的美國橡木桶中的濃厚香草甜味，以及存放雪莉酒的西班牙橡木桶具有辛香味及乾果氣味。色澤:金黃桃花木色香氣:散發柑橘、果醬籍辛香料的氣味口感:口感優雅、豐厚，伴隨著柑橘、Oloroso雪麗陽酒以及微微的香草味，寵滿複雜多變的層次感。2017年國際葡萄酒與烈酒大賽-銀牌
3,大摩15年單一純麥威士忌700ml,https://www.609.com.tw/Product/11019902,https://www.609.com.tw/Images/11威士忌/大摩15年700ml.jpg,11019902,"NT$1,850/瓶","從1839年開始，大摩酒廠開始釀造最優異的單一純麥威士忌。酒廠坐落於Cromarty海灣北岸，屬於蘇格蘭高地。地理位置的優異讓大摩擁有得天獨厚的自然元素。從面對酒廠湖泊的乾淨水源，到海岸邊Black Isle富饒土地上產出的黃金大麥，讓大摩可以汲取大自然中最豐富的釀酒材料。靠近海平面的海拔高度也非常重要，夾帶著鹽份的海風徐徐吹來，包覆著鹽份的空氣、提供了酒窖內熟成威士忌絕佳的條件。大摩15年滑順、口感豐富，且具全面性；是大摩產品基本風格的縮影。這款雅緻但平易近人的酒款，最初的12年在美國橡木桶內熟成，接下來的三年把原酒分別放置在不同的雪莉酒橡木桶Amoroso、Apostoles及Matusalem Oloroso內在熟化、達到最完美的境界及個性。最後把原酒融合一起放置在直立的雪莉桶中，讓其風味臻於完美。優雅的氣息攻佔了味蕾，陳年的Amoroso,Apostoles及Matusalem Oloroso雪莉酒桶造就了濃郁的乾香料香氣:丁香、肉桂及薑。口中充滿強烈的柑橘味，味蕾中段有橘子、檸檬、萊姆的氣味。2017年國際葡萄酒與烈酒大賽-銀牌2014年國際烈酒挑戰賽-銀牌                            "
4,大摩亞歷山大KA3單一純麥威士忌700ml,https://www.609.com.tw/Product/11019903,https://www.609.com.tw/images/11威士忌/大摩KA.jpg,11019903,"NT$3,999/瓶","從1839年開始，大摩酒廠開始釀造最優異的單一純麥威士忌。酒廠坐落於Cromarty海灣北岸，屬於蘇格蘭高地。地理位置的優異讓大摩擁有得天獨厚的自然元素。從面對酒廠湖泊的乾淨水源，到海岸邊Black Isle富饒土地上產出的黃金大麥，讓大摩可以汲取大自然中最豐富的釀酒材料。靠近海平面的海拔高度也非常重要，夾帶著鹽份的海風徐徐吹來，包覆著鹽份的空氣、提供了酒窖內熟成威士忌絕佳的條件。將多樣酒桶中熟成的酒完美的融合，最後產出這樣豪華款的單一純麥威士忌。 來自陳年且富有香氣的Oloroso雪莉酒桶和Madeira酒桶中的杏仁香氣、濃厚的柑橘果香；由Port和Marsala木桶中所帶來的野莓、李子香氣；來自陳年波本酒桶溫和的香草味、太妃糖；來自Cabernet Sauvignon酒桶的成熟紅色果子的氣味。複雜、多層次且極富特色的氣味是鑑賞家的最愛。 一次美麗的意外發現 早期蘇格蘭威士忌的飲用方式是直接取蒸餾器所製造出的威士忌原酒，不經過陳釀，或許是一次意外的發現：大約在1820年發現原酒若存放在橡木桶1年或更久，可以去除酒中的辛辣味，讓酒變得更醇厚、多層次，並得到更自然的金黃色澤。從歐洲運送到蘇格蘭的雪莉酒、波特酒、白蘭地及葡萄酒的酒桶被再次的使用，讓濃烈的蘇格蘭威士忌在高地寒冷潮濕的酒廠裡更添特色。陳年使用的橡木桶美國波本威士忌橡木桶/西班牙奧朗索雪莉酒橡木桶/馬德拉酒桶/馬撒拉酒桶/葡萄牙波特酒桶 /卡本內蘇維翁葡萄酒桶香氣：紅梅子水果、鮮花及隱藏的百香果口感：鮮橙,香草豆莢、奶油焦糖及碎杏仁尾韻：甜肉桂、荳蔻及薑味2014年世界威士忌大賽-銀牌2014年國際烈酒挑戰賽-銀牌2014年國際葡萄酒與烈酒大賽-銀牌                            "
5,大摩Cigar雪茄三桶單一純麥威士忌700ml,https://www.609.com.tw/Product/11019904,https://www.609.com.tw/Images/11威士忌/大摩CI700ml.jpg,11019904,"NT$1,999/瓶",從1839年開始，大摩酒廠開始釀造最優異的單一純麥威士忌。酒廠坐落於Cromarty海灣北岸，屬於蘇格蘭高地。地理位置的優異讓大摩擁有得天獨厚的自然元素。從面對酒廠湖泊的乾淨水源，到海岸邊Black Isle富饒土地上產出的黃金大麥，讓大摩可以汲取大自然中最豐富的釀酒材料。靠近海平面的海拔高度也非常重要，夾帶著鹽份的海風徐徐吹來，包覆著鹽份的空氣、提供了酒窖內熟成威士忌絕佳的條件。這款威士忌是特地為搭配高級雪茄而創造。大摩雪茄版為了讓品嘗雪茄的愛好人士，在單獨品味雪茄的時光不再寂寞，除了既往甜酒的選擇，現在更可以透過威士忌的甜，與香草水果味道濃郁的表現，更勝一般甜酒的搭配。此外，除了搭配雪茄的美好時光外，在一般品飲時間裡，一般威士忌在杯中經過時間的散化效應，在大摩雪茄版裡可以免去擔憂，既使過了20分鐘，濃郁的熱帶水果芳香，仍在杯中！這款威士忌最初分別在美國白橡木波本桶，及30年歷史的西班牙Martusalem Oloroso雪莉桶熟成；最後在法國波爾多卡本內蘇維翁葡萄酒桶內完美融合。 有著甜而妖嬈的天性，再加上細緻的煙燻味，完整了雪茄愛好者的專屬時光。香氣：肉桂、香草及水果。口感：熱帶水果、香蕉、太妃糖及香草霜淇淋。餘韻：橘子味、佛手柑及香料。2017年國際烈酒挑戰賽-金牌2017年國際葡萄酒與烈酒大賽-銀牌                            
6,大摩18年單一純麥威士忌700ml,https://www.609.com.tw/Product/110589,https://www.609.com.tw/images/11威士忌/大摩18年.jpg,110589,"NT$3,199/瓶",從1839年開始，大摩酒廠開始釀造最優異的單一純麥威士忌。酒廠坐落於Cromarty海灣北岸，屬於蘇格蘭高地。地理位置的優異讓大摩擁有得天獨厚的自然元素。從面對酒廠湖泊的乾淨水源，到海岸邊Black Isle富饒土地上產出的黃金大麥，讓大摩可以汲取大自然中最豐富的釀酒材料。靠近海平面的海拔高度也非常重要，夾帶著鹽份的海風徐徐吹來，包覆著鹽份的空氣、提供了酒窖內熟成威士忌絕佳的條件。大摩18年是大摩威士忌風味演變的代表，將辛香柑橘味與濃郁巧克力完美結合，創造出濃郁的口感與體驗。先在美國波本橡木桶中熟成14年後，再移到著名的Gonzalez Byass酒莊30年Matusalem Oloroso雪莉桶內進行最後4年熟成。香氣：香草、黑巧克力、柳橙與肉桂口感：黑巧克力、甜柑橘、濃縮咖啡、肉豆蔻與丁香尾韻：柑橘、水果、橡木與香料2017年國際葡萄酒與烈酒大賽-銀牌                            
7,大摩勇氣Valour單一純麥威士忌1000ml,https://www.609.com.tw/Product/110704,https://www.609.com.tw/Images/11威士忌/大摩勇氣.jpg,110704,"NT$1,599/瓶",從1839年開始，大摩酒廠開始釀造最優異的單一純麥威士忌。酒廠坐落於Cromarty海灣北岸，屬於蘇格蘭高地。地理位置的優異讓大摩擁有得天獨厚的自然元素。從面對酒廠湖泊的乾淨水源，到海岸邊Black Isle富饒土地上產出的黃金大麥，讓大摩可以汲取大自然中最豐富的釀酒材料。靠近海平面的海拔高度也非常重要，夾帶著鹽份的海風徐徐吹來，包覆著鹽份的空氣、提供了酒窖內熟成威士忌絕佳的條件。大摩Valour勇氣威士忌為一款結合三款木桶陳釀而成的精致傑，酒桶分別來自美國波士頓和克雷蒙的first fill波本桶、西班牙岡薩雷比亞斯和赫雷斯出產的Matusalem Oloroso雪莉桶。以及葡萄牙杜羅產區的波特酒桶，大摩勇氣威士忌首先熟成於波本，之後是雪莉桶，最後以波特桶添加風味，塑造出獨特的出色質感。香氣：太妃糖漿淋上脆餅，點綴著豐滿的葡萄乾。二階段的引出蜜餞橙皮的氣息。口感：濃郁的巧克力，帶出糖蜜和麥芽麵包，展現出一些輕微的金色大麥和肉荳蔻滋味。餘韻：悠長長而溫暖 - 充足的橙皮香氣和肉桂。2017年國際葡萄酒與烈酒大賽-金牌                            
8,大摩2006-10年單一純麥威士忌700ml,https://www.609.com.tw/Product/111572,https://www.609.com.tw/Images/11威士忌/大摩2006-10年.jpg,111572,"NT$1,799/瓶",從1839年開始，大摩酒廠開始釀造最優異的單一純麥威士忌。酒廠坐落於Cromarty海灣北岸，屬於蘇格蘭高地。地理位置的優異讓大摩擁有得天獨厚的自然元素。從面對酒廠湖泊的乾淨水源，到海岸邊Black Isle富饒土地上產出的黃金大麥，讓大摩可以汲取大自然中最豐富的釀酒材料。靠近海平面的海拔高度也非常重要，夾帶著鹽份的海風徐徐吹來，包覆著鹽份的空氣、提供了酒窖內熟成威士忌絕佳的條件。最初在法國市場上市，這款年份系列的大摩熟成了10年，剛開始是在初次波本威士忌酒桶陳年，最後兩年被移到特別精選的Beam桶中，結果使酒體比想像的更柔順且帶有濃郁花香。香氣：甜味花香帶有柑橘和香草。口感：金銀花，紫羅蘭，木瓜，楊桃和蘇丹娜茶。餘韻：些許香料，芳香的橡木和混合果皮。
9,大摩2008-10年單一純麥威士忌700ml,https://www.609.com.tw/Product/111940,https://www.609.com.tw/Images/11威士忌/大摩2008-10.jpg,111940,"NT$1,899/瓶",從1839年開始，大摩酒廠開始釀造最優異的單一純麥威士忌。酒廠坐落於Cromarty海灣北岸，屬於蘇格蘭高地。地理位置的優異讓大摩擁有得天獨厚的自然元素。這款單一麥芽酒於2008年進行蒸餾，從最初的波本威士忌酒桶開始了10年的旅程，然後在以前裝有馬德拉酒的酒桶中熟成。馬德拉酒的甜味與波本威士忌酒桶的奶油味相互配合，造就了令人愉悅的高地威士忌。香氣:新鮮的干草，棗，燉的梨，肉桂和甘草，還有蜂蜜。口感:奶油味的堅果，帶有蜂蜜烤核桃，燉的漿果和肥大的葡萄乾，奶油糖，花麥芽和鹹巧克力。餘韻:雪茄盒，淡淡的奶油香草，多汁的梨和豐富的干燥橡木味。
